Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D15, D16, D17, D18, D19, D2, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D41, D42, D43, D44, D5, D6, D7, D8, D9",Diode_SOD-123,41,D,
J1,OLED_128x32,1,OLED_128x32,
J2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Battery Connector,
SW-ONOFF-01,Switch_MSK12C02,1,~,
SW1,Hotswap_MX_Plated_1.00u,1,"""6""",
SW10,Hotswap_MX_Plated_1.00u,1,"""Z""",
SW11,Hotswap_MX_Plated_1.00u,1,"""U""",
SW12,Hotswap_MX_Plated_1.00u,1,"""I""",
SW13,Hotswap_MX_Plated_1.00u,1,"""O""",
SW14,Hotswap_MX_Plated_1.00u,1,"""P""",
SW15,Hotswap_MX_Plated_1.00u,1,"""Ü""",
SW16,Hotswap_MX_Plated_1.00u,1,"""*""",
SW17,Hotswap_MX_Plated_ISOEnter,1,"""Enter""",
SW18,Hotswap_MX_Plated_1.00u,1,"""Del""",
SW19,Hotswap_MX_Plated_1.00u,1,"""H""",
SW2,Hotswap_MX_Plated_1.00u,1,"""7""",
SW20,Hotswap_MX_Plated_1.00u,1,"""J""",
SW21,Hotswap_MX_Plated_1.00u,1,"""K""",
SW22,Hotswap_MX_Plated_1.00u,1,"""L""",
SW23,Hotswap_MX_Plated_1.00u,1,"""Ö""",
SW24,Hotswap_MX_Plated_1.00u,1,"""Ä""",
SW25,Hotswap_MX_Plated_1.00u,1,"""'""",
SW26,Hotswap_MX_Plated_1.00u,1,"""PGUP""",
SW27,Hotswap_MX_Plated_1.00u,1,"""N""",
SW28,Hotswap_MX_Plated_1.00u,1,"""M""",
SW29,Hotswap_MX_Plated_1.00u,1,""";""",
SW3,Hotswap_MX_Plated_1.00u,1,"""8""",
SW30,Hotswap_MX_Plated_1.00u,1,""":""",
SW31,Hotswap_MX_Plated_1.00u,1,"""-""",
SW32,Hotswap_MX_Plated_1.75u,1,"""shift_R""",
SW33,Hotswap_MX_Plated_1.00u,1,"""UP""",
SW34,Hotswap_MX_Plated_1.00u,1,"""PGDOWN""",
SW35,Hotswap_MX_Plated_2.75u,1,"""SPACE_R""",
SW36,Hotswap_MX_Plated_1.00u,1,"""Alt""",
SW37,Hotswap_MX_Plated_1.00u,1,FN,
SW38,Hotswap_MX_Plated_1.00u,1,"""Ctrl""",
SW39,Hotswap_MX_Plated_1.00u,1,"""Left""",
SW4,Hotswap_MX_Plated_1.00u,1,"""9""",
SW40,Hotswap_MX_Plated_1.00u,1,"""Down""",
SW41,Hotswap_MX_Plated_1.00u,1,"""Right""",
SW5,Hotswap_MX_Plated_1.00u,1,"""0""",
SW6,Hotswap_MX_Plated_1.00u,1,"""ß""",
SW7,Hotswap_MX_Plated_1.00u,1,"""`""",
SW8,Hotswap_MX_Plated_2.00u,1,"""Backspace""",
SW9,Hotswap_MX_Plated_1.00u,1,"""^""",
U1,Nice_Nano_V2,1,Nice_Nano_V2,
